Gene	Missense_Path	Total_Path	Percent_Missense_Path
ADSSL1	1	2	50.0
AEBP1	0	5	0.0
AFF2	0	2	0.0
AFF3	1	1	100.0
AFF4	3	3	100.0
AFG3L2	21	22	95.45
AFP	0	2	0.0
AGA	15	44	34.09
AGBL1	1	2	50.0
AGBL2	0	1	0.0
AGBL5	2	2	100.0
AGK	1	15	6.67
KIAA1147	0	2	0.0
AGL	7	123	5.69
AGPAT2	4	24	16.67
AGPS	4	4	100.0
AGRN	6	11	54.55
AGT	1	5	20.0
AGTPBP1	0	2	0.0
AGTR1	1	4	25.0
AGXT	87	179	48.6
AHCY	2	3	66.67
AHDC1	1	40	2.5
AHI1	14	54	25.93
AHSG	1	1	100.0
AICDA	8	13	61.54
RAB33A	9	24	37.5
AIMP1	0	4	0.0
EIF2AK1	0	1	0.0
AIP	8	42	19.05
AIPL1	4	8	50.0
AIRE	16	67	23.88
AK1	4	7	57.14
AK2	1	10	10.0
AK7	1	1	100.0
AKAP9	2	4	50.0
AKR1C2	3	3	100.0
AKR1D1	3	6	50.0
AKT1	4	4	100.0
AKT2	2	4	50.0
AKT3	5	5	100.0
ALAD	3	5	60.0
ALAS2	23	27	85.19
ALB	3	7	42.86
ALDH18A1	11	22	50.0
ALDH1A3	2	3	66.67
LOC101927751	4	6	66.67
ALDH1B1	1	1	100.0
ALDH3A2	17	67	25.37
ALDH4A1	1	5	20.0
ALDH5A1	5	11	45.45
BBOF1	3	6	50.0
ALDH7A1	18	45	40.0
ALDOA	2	2	100.0
ALDOB	5	34	14.71
ALG11	1	5	20.0
ALG12	6	11	54.55
ALG13	1	3	33.33
ALG14	0	1	0.0
LOC101928098	0	1	0.0
ALG1	8	19	42.11
EEF2KMT	0	1	0.0
ALG2	2	4	50.0
ALG3	5	9	55.56
ALG6	6	26	23.08
ALG8	2	10	20.0
ALG9	2	3	66.67
ALK	20	20	100.0
ALMS1	2	185	1.08
ALOX12B	14	22	63.64
ALOXE3	5	10	50.0
ALPK3	0	12	0.0
ALPL	24	70	34.29
ALS2	3	28	10.71
ALX1	0	1	0.0
ALX3	4	7	57.14
ALX4	4	15	26.67
C1QTNF3-AMACR	2	2	100.0
AMBN	0	2	0.0
ARHGAP6	4	10	40.0
AMER1	0	11	0.0
AMH	0	3	0.0
MIR4321	0	1	0.0
AMHR2	1	3	33.33
AMMECR1	0	3	0.0
AMN	3	25	12.0
AMOT	1	1	100.0
AMPD1	3	5	60.0
AMPD2	8	14	57.14
AMPD3	1	1	100.0
AMT	7	35	20.0
NICN1	0	6	0.0
LRTOMT	0	1	0.0
RNASE4	8	8	100.0
MCPH1	0	1	0.0
DOCK7	1	7	14.29
ANK1	0	18	0.0
ANK2	2	6	33.33
ANK3	1	3	33.33
ANKH	5	7	71.43
OTULIN	0	1	0.0
OTULIN	2	2	100.0
ANKLE2	1	2	50.0
ANKRD11	7	114	6.14
ANKRD1	2	2	100.0
ANKRD26	0	2	0.0
ANKS6	1	9	11.11
ANLN	2	2	100.0
ANO10	1	16	6.25
ANO3	3	3	100.0
ANO5	12	53	22.64
ANO6	0	1	0.0
ANOS1	8	26	30.77
ANTXR1	1	6	16.67
ANTXR2	7	15	46.67
ANXA11	3	3	100.0
AP1S1	0	1	0.0
AP1S2	0	11	0.0
AP2S1	3	3	100.0
AP3B1	2	10	20.0
CPEB1-AS1	0	5	0.0
AP3D1	0	1	0.0
AP4B1	0	6	0.0
AP4B1-AS1	1	8	12.5
AP4E1	0	3	0.0
AP4M1	3	12	25.0
AP4S1	2	9	22.22
AP5Z1	1	10	10.0
APC2	0	1	0.0
APC	6	694	0.86
APCDD1	1	1	100.0
APOA1	8	9	88.89
APOA1-AS	2	13	15.38
APOA4	1	1	100.0
APOA5	0	3	0.0
APOB	14	63	22.22
LOC106560211	0	1	0.0
APOC4-APOC2	5	9	55.56
APOC3	2	3	66.67
APOE	15	19	78.95
APOH	1	1	100.0
APOPT1	1	4	25.0
APP	17	17	100.0
APPL1	1	2	50.0
APRT	2	10	20.0
APTX	6	11	54.55
AQP1	1	1	100.0
AQP2	7	9	77.78
LOC101927318	12	14	85.71
AQP4	1	1	100.0
AQP5	3	3	100.0
LOC101927318	2	2	100.0
AR	78	126	61.9
LOC109504725	0	10	0.0
ARAF	3	3	100.0
ARCN1	0	3	0.0
CSPP1	0	3	0.0
ARFGEF2	0	4	0.0
ARG1	2	3	66.67
MED23	4	18	22.22
ARHGAP11A	0	1	0.0
ARHGAP21	1	1	100.0
ARHGAP26	1	1	100.0
ARHGAP29	0	3	0.0
ARHGAP31	0	2	0.0
ARHGDIA	0	3	0.0
ARHGEF10	1	1	100.0
ARHGEF10L	1	1	100.0
ARHGEF15	0	1	0.0
ARHGEF18	1	5	20.0
ARHGEF2	0	1	0.0
ARHGEF9	3	9	33.33
ARID1A	7	27	25.93
ARID1B	8	145	5.52
ARID2	0	18	0.0
ARL13B	4	10	40.0
ARL14EP	1	1	100.0
ARL16	0	1	0.0
ARL2BP	1	4	25.0
ARL6	6	10	60.0
ARL6IP1	0	1	0.0
ARMC4	1	15	6.67
ARMC5	3	6	50.0
ARMC9	6	11	54.55
ARPC1B	1	1	100.0
ARR3	2	3	66.67
ARSA	31	89	34.83
ARSB	40	108	37.04
ARSE	14	18	77.78
ARSG	1	1	100.0
ARV1	0	1	0.0
ARX	16	44	36.36
LOC109610631	0	10	0.0
ASAH1	10	13	76.92
ASB10	1	4	25.0
ASCC1	1	2	50.0
PAH	1	1	100.0
ASH1L	2	9	22.22
ASH2L	1	1	100.0
ASL	10	47	21.28
CZ1P-ASNS	10	19	52.63
SPATA22	17	47	36.17
ASPH	1	2	50.0
ASPM	3	172	1.74
ASS1	16	48	33.33
ASTN1	1	1	100.0
ASXL1	2	36	5.56
ASXL2	1	8	12.5
ASXL3	1	44	2.27
ATAD1	1	3	33.33
ATAD3A	2	2	100.0
ATF6	3	12	25.0
ATG5	0	1	0.0
ATIC	1	1	100.0
ATL1	19	21	90.48
ATL3	1	1	100.0
ATM	7	511	1.37
C11orf65	20	300	6.67
ATN1	3	3	100.0
ATOH7	2	3	66.67
ATP11C	1	1	100.0
ATP13A2	6	18	33.33
ATP1A1	3	4	75.0
ATP1A1-AS1	4	4	100.0
ATP1A2	30	35	85.71
ATP1A3	69	77	89.61
ATP2A1	1	13	7.69
ATP2A2	16	25	64.0
ATP2B2	1	1	100.0
ATP2B3	2	6	33.33
ATP2C1	5	12	41.67
ATP5F1A	2	4	50.0
ATP5F1D	2	2	100.0
SLMO2-ATP5E	1	1	100.0
ATP6AP1	5	5	100.0
ATP6AP2	0	3	0.0
ATP6V0A2	0	13	0.0
ATP6V0A4	4	15	26.67
ATP6V1A	8	8	100.0
ATP6V1B1	2	11	18.18
ATP6V1B2	4	6	66.67
ATP6V1E1	2	2	100.0
ATP7A	14	102	13.73
ATP7B	53	176	30.11
ATP8A2	3	9	33.33
ATP8B1	7	11	63.64
LOC100505549	2	4	50.0
ATP8B3	0	1	0.0
ATPAF2	2	3	66.67
ATR	4	10	40.0
ATRX	35	53	66.04
LOC107181287	0	1	0.0
ATXN2	0	1	0.0
AUH	6	12	50.0
AURKC	1	3	33.33
AUTS2	3	19	15.79
AVP	15	18	83.33
AVPR2	10	40	25.0
AXIN1	0	1	0.0
AXIN2	1	17	5.88
B2M	7	8	87.5
B3GALNT2	1	11	9.09
B3GALT6	11	17	64.71
B3GAT3	4	5	80.0
B3GLCT	1	7	14.29
B3GNT6	1	1	100.0
B4GALNT1	1	7	14.29
B4GALT7	5	7	71.43
B4GAT1	0	1	0.0
B9D1	1	6	16.67
B9D2	3	4	75.0
BAAT	2	3	66.67
BAG3	4	33	12.12
BANF1	1	1	100.0
BAP1	1	69	1.45
BARD1	1	137	0.73
BAX	0	4	0.0
BAZ1A	1	1	100.0
BBIP1	0	1	0.0
BBS10	7	83	8.43
BBS12	4	32	12.5
BBS1	4	25	16.0
ZDHHC24	1	31	3.23
BBS2	6	46	13.04
BBS4	4	18	22.22
BBS5	5	13	38.46
BBS7	5	19	26.32
BBS9	2	21	9.52
BCAM	0	3	0.0
BCAP31	0	6	0.0
BCHE	4	42	9.52
BCKDHA	14	44	31.82
BCKDHB	24	71	33.8
BCKDK	1	3	33.33
BCL10	2	16	12.5
BCL11A	3	19	15.79
BCL11B	2	8	25.0
BCO1	1	1	100.0
BCOR	3	30	10.0
BCS1L	11	39	28.21
BDNF-AS	0	1	0.0
BEST1	31	60	51.67
BFSP1	1	2	50.0
BFSP2-AS1	1	2	50.0
BGN	4	5	80.0
BHLHA9	4	4	100.0
BICD2	10	11	90.91
BIN1	3	9	33.33
BLK	0	2	0.0
FAM167A	0	1	0.0
BLM	6	131	4.58
BLNK	0	1	0.0
BLOC1S3	0	2	0.0
BLOC1S6	0	1	0.0
BLVRA	0	2	0.0
BMP15	2	3	66.67
BMP1	5	7	71.43
BMP2	0	3	0.0
BMP4	4	5	80.0
BMP7	0	1	0.0
BMPER	2	4	50.0
BMPR1A	12	94	12.77
BMPR1B	8	11	72.73
BMPR2	84	340	24.71
BMS1	1	1	100.0
BOLA3	0	2	0.0
BORCS5	0	1	0.0
BPGM	1	2	50.0
BPTF	1	10	10.0
BRAF	98	105	93.33
BRAT1	1	17	5.88
BRCA1	42	2628	1.6
BRCA2	39	3147	1.24
BRD4	1	1	100.0
BRD7	0	1	0.0
BRDT	1	1	100.0
BRF1	2	4	50.0
BRIP1	1	186	0.54
BRPF1	4	19	21.05
BRWD3	2	7	28.57
HNRNPUL2-BSCL2	6	31	19.35
BSND	7	8	87.5
BTD	81	143	56.64
BTK	33	96	34.38
BUB1	1	3	33.33
BUB1B	0	7	0.0
BVES	1	2	50.0
C12orf4	0	1	0.0
C12orf57	0	5	0.0
C12orf65	1	9	11.11
C15orf41	1	2	50.0
C19orf12	3	12	25.0
C1GALT1C1	4	5	80.0
C1QA	0	2	0.0
C1QB	1	3	33.33
C1QBP	5	6	83.33
C1QC	1	4	25.0
C1R	1	1	100.0
C1S	2	3	66.67
C2	0	1	0.0
C2CD3	4	9	44.44
C3	3	3	100.0
C3AR1	0	1	0.0
C5	1	5	20.0
C6	0	4	0.0
C7	2	8	25.0
C8B	0	7	0.0
C8orf37	2	7	28.57
C8orf37-AS1	0	1	0.0
C9	1	4	25.0
CA12	2	5	40.0
CA1	2	2	100.0
CA2	1	5	20.0
CA3-AS1	0	1	0.0
CA4	3	3	100.0
CA5A	2	4	50.0
CA8	2	4	50.0
CABP4	1	6	16.67
CACNA1A	43	118	36.44
CACNA1B	1	1	100.0
CACNA1C	10	15	66.67
CACNA1D	1	5	20.0
CACNA1E	7	7	100.0
CACNA1F	8	35	22.86
CACNA1G	6	8	75.0
CACNA1H	6	6	100.0
CACNA1S	7	13	53.85
CACNA2D1	0	1	0.0
CACNA2D2	0	5	0.0
CACNA2D4	0	1	0.0
CACNB2	0	1	0.0
NSUN6	3	3	100.0
CACNB4	0	1	0.0
CAD	1	6	16.67
CALHM1	1	1	100.0
CALM1	8	8	100.0
CALM2	3	3	100.0
CALM3	4	4	100.0
CALR	0	1	0.0
CAMK2A	8	12	66.67
CAMK2B	4	5	80.0
CAMK2G	1	1	100.0
CAMK4	0	1	0.0
CAMTA1	2	19	10.53
CANT1	10	19	52.63
CAPN1	1	6	16.67
CAPN3	25	131	19.08
SGCB	0	1	0.0
CAPN5	3	3	100.0
CARD11	5	8	62.5
CARD14	5	7	71.43
CARD9	3	7	42.86
CARMIL2	5	10	50.0
CARS2	2	5	40.0
CASK	19	75	25.33
CASP10	1	5	20.0
CASP14	0	1	0.0
CASP8	1	2	50.0
CASQ1	2	2	100.0
CASQ2	9	23	39.13
CASR	71	100	71.0
CAST	0	2	0.0
ERAP1	0	1	0.0
CATSPER1	0	2	0.0
CAV1	0	7	0.0
CAV3	13	15	86.67
SSUH2	6	7	85.71
CAVIN1	0	1	0.0
CBL	14	19	73.68
CBLIF	0	2	0.0
CBS	23	66	34.85
CBX2	2	2	100.0
CC2D1A	0	2	0.0
CC2D2A	25	69	36.23
CCBE1	4	5	80.0
CCDC103	0	3	0.0
CCDC114	1	9	11.11
CCDC115	0	2	0.0
CCDC151	0	7	0.0
CCDC170	1	2	50.0
CCDC174	0	1	0.0
CCDC22	2	2	100.0
CCDC39	0	30	0.0
CCDC40	0	30	0.0
CCDC65	0	2	0.0
CCDC88A	0	1	0.0
CCDC88C	2	6	33.33
CCM2	0	18	0.0
CCN6	4	13	30.77
CCND2	7	8	87.5
CCNK	1	1	100.0
CCNO	3	11	27.27
CCNQ	0	1	0.0
LOC102724297	0	1	0.0
CCT5	1	1	100.0
CCT7	1	1	100.0
CD164	0	1	0.0
CD19	1	4	25.0
CD207	1	1	100.0
CD247	4	7	57.14
CD27-AS1	1	4	25.0
CD2AP	0	3	0.0
CD36	2	11	18.18
CD3D	0	3	0.0
CD3E	0	4	0.0
CD3G	1	5	20.0
CD40	1	2	50.0
CD40LG	15	27	55.56
CD46	0	5	0.0
CD4	0	1	0.0
CD55	2	6	33.33
CD59	2	3	66.67
CD79A	0	1	0.0
GH-LCR	0	2	0.0
CD81	0	1	0.0
CD8A	1	1	100.0
CD96	1	1	100.0
CDAN1	8	12	66.67
CDC14A	2	7	28.57
CDC42	9	9	100.0
CDC45	5	8	62.5
CDC6	1	1	100.0
CDC73	5	40	12.5
CDCA7	3	4	75.0
CDH11	0	3	0.0
CDH15	2	2	100.0
CDH1	5	139	3.6
CDH23	30	77	38.96
C10orf105	2	10	20.0
CDH23-AS1	1	4	25.0
LOC111982869	1	4	25.0
CDH2	1	1	100.0
CDH3	3	6	50.0
CDH4	1	1	100.0
CDHR1	2	9	22.22
CDK10	1	5	20.0
CDK12	1	1	100.0
CDK13	9	10	90.0
CDK20	0	2	0.0
CDK4	3	3	100.0
CDK5	0	1	0.0
CDK5RAP2	0	16	0.0
CDK6	1	1	100.0
CDKL5	57	237	24.05
CDKN1B	1	11	9.09
GPR19	0	2	0.0
CDKN1C	8	33	24.24
CDKN2A	4	70	5.71
CDON	4	4	100.0
PSORS1C1	0	6	0.0
CDT1	3	4	75.0
CEACAM16	4	4	100.0
CEBPA	0	13	0.0
CEBPE	0	1	0.0
CEL	0	2	0.0
CELSR2	1	2	50.0
CENPE	3	3	100.0
CENPF	0	13	0.0
CENPJ	1	25	4.0
RNF17	3	9	33.33
CEP104	0	7	0.0
CEP120	6	9	66.67
CEP135	0	7	0.0
CEP152	3	17	17.65
CEP164	3	9	33.33
CEP19	0	2	0.0
CEP290	2	121	1.65
C12orf29	0	1	0.0
CEP41	2	3	66.67
CEP55	0	4	0.0
CEP57	1	4	25.0
CEP63	0	3	0.0
CEP78	0	7	0.0
CEP83	2	10	20.0
CEP97	0	1	0.0
CERKL	1	16	6.25
CERS3	1	2	50.0
CES1	1	1	100.0
CETP	0	1	0.0
C21orf59-TCP10L	0	4	0.0
CFAP300	1	5	20.0
CFAP410	6	12	50.0
CFAP43	3	10	30.0
CFAP44	1	6	16.67
CFAP53	1	3	33.33
CFAP69	0	1	0.0
CFB	0	2	0.0
CFC1	0	3	0.0
CFD	0	1	0.0
CFH	8	14	57.14
CFHR3	1	1	100.0
CFHR5	0	2	0.0
CFI	5	8	62.5
CFL2	0	2	0.0
CFP	3	5	60.0
CFTR	60	371	16.17
CFTR-AS1	8	38	21.05
LOC111674463	0	1	0.0
LOC111674472	9	29	31.03
LOC111674475	7	14	50.0
LOC111674477	0	1	0.0
CHAF1B	1	1	100.0
CHAMP1	0	17	0.0
CHAT	13	18	72.22
SLC18A3	3	5	60.0
CHCHD10	0	2	0.0
CHCHD2	2	3	66.67
CHD1	3	3	100.0
CHD2	12	74	16.22
CHD3	0	1	0.0
CHD4	13	14	92.86
CHD7	2	259	0.77
CHD8	5	39	12.82
CHEK2	2	211	0.95
CHKB-CPT1B	0	11	0.0
CHM	1	41	2.44
CHMP1A	1	4	25.0
CHMP2B	2	5	40.0
CHMP4B	2	2	100.0
CHN1	7	10	70.0
GNPTAB	0	4	0.0
CHRDL1	1	8	12.5
CHRM3	0	1	0.0
CHRNA1	18	22	81.82
CHRNA2	2	2	100.0
CHRNA4	4	5	80.0
CHRNA7	0	1	0.0
CHRNB1	2	7	28.57
CHRNB2	8	8	100.0
CHRND	4	16	25.0
CHRNE	2	22	9.09
C17orf107	12	25	48.0
CHRNG	4	16	25.0
CHST14	6	14	42.86
CHST3	13	16	81.25
CHST6	7	9	77.78
CHST8	1	1	100.0
CHSY1	1	2	50.0
CHUK	0	1	0.0
CIB2	3	5	60.0
CIC	1	9	11.11
CIDEC	0	1	0.0
CIITA	0	6	0.0
CINP	0	1	0.0
CIT	4	9	44.44
CKAP2L	0	7	0.0
RNU4ATAC	0	15	0.0
LOC100130987	2	4	50.0
CLCN1	43	78	55.13
CLCN2	8	23	34.78
CLCN4	11	14	78.57
CLCN5	19	38	50.0
CLCN7	10	12	83.33
LOC106501712	1	3	33.33
CLCNKB	0	2	0.0
LOC106501713	4	13	30.77
CLDN10	1	3	33.33
CLDN14	4	7	57.14
CLDN16	13	19	68.42
CLDN19	5	7	71.43
CLDN1	0	3	0.0
CLDN2	1	1	100.0
CLHC1	1	1	100.0
CLIC2	1	1	100.0
CLIC5	0	1	0.0
CLMP	2	5	40.0
CLN3	13	87	14.94
CLN5	0	11	0.0
FBXL3	10	45	22.22
CLN6	12	39	30.77
CLN8	19	37	51.35
CLP1	0	1	0.0
CLPB	11	25	44.0
CLPP	3	4	75.0
CLPX	1	1	100.0
CLRN1	4	18	22.22
CLRN1-AS1	2	3	66.67
CLTC	3	20	15.0
CLTCL1	1	1	100.0
CLUAP1	1	3	33.33
LOC101927157	5	11	45.45
CNGA3	18	30	60.0
CNGB1	3	24	12.5
CNGB3	10	95	10.53
CNKSR2	0	7	0.0
CNNM2	4	4	100.0
CNNM4	4	9	44.44
CNOT3	0	1	0.0
CNOT9	3	4	75.0
CNPY3-GNMT	1	3	33.33
CNTN1	0	4	0.0
CNTN2	1	3	33.33
CNTN6	0	1	0.0
CNTNAP1	2	9	22.22
CNTNAP2	1	24	4.17
COA3	1	2	50.0
COA5	1	1	100.0
COA6	1	2	50.0
COA7	1	2	50.0
COASY	1	3	33.33
LOC100506071	11	13	84.62
COG1	0	2	0.0
COG2	1	3	33.33
COG4	5	11	45.45
COG5	1	3	33.33
COG6	3	10	30.0
COG7	1	7	14.29
COG8	0	3	0.0
NT5DC1	11	15	73.33
COL11A1	8	28	28.57
COL11A2	7	26	26.92
COL12A1	4	14	28.57
COL13A1	0	7	0.0
COL17A1	5	23	21.74
MIR936	0	1	0.0
COL18A1	1	12	8.33
COL1A1	140	330	42.42
COL1A2	128	166	77.11
COL25A1	1	2	50.0
COL27A1	2	7	28.57
COL2A1	90	163	55.21
COL3A1	314	492	63.82
MIR3606	0	1	0.0
COL4A1	53	61	86.89
COL4A2	7	10	70.0
COL4A2-AS1	1	3	33.33
COL4A3	2	3	66.67
LOC654841	53	116	45.69
COL4A3BP	4	4	100.0
POLK	0	1	0.0
COL4A4	38	109	34.86
COL4A5	369	768	48.05
COL4A6	1	2	50.0
COL5A1	9	71	12.68
LOC101448202	6	21	28.57
COL5A2	9	23	39.13
COL6A1	32	73	43.84
COL6A2	27	81	33.33
COL6A3	18	61	29.51
COL6A6	0	1	0.0
COL7A1	71	143	49.65
COL8A2	3	3	100.0
COL9A1	0	9	0.0
COL9A2	0	3	0.0
COL9A3	3	8	37.5
COLEC10	1	2	50.0
LOC101927513	0	1	0.0
COLEC11	2	2	100.0
COLQ	5	21	23.81
COMP	30	38	78.95
COPA	5	5	100.0
NCSTN	0	1	0.0
COPB2	1	1	100.0
COQ2	8	13	61.54
COQ4	3	11	27.27
COQ7	1	1	100.0
COQ8A	19	42	45.24
COQ8B	5	11	45.45
COQ9	0	1	0.0
CORIN	2	2	100.0
CORO1A	1	3	33.33
COX10	7	8	87.5
COX14	1	2	50.0
COX15	3	5	60.0
HNRNPU-AS1	0	4	0.0
COX6A1	0	2	0.0
COX6B1	2	2	100.0
COX7B	0	4	0.0
COX8A	0	1	0.0
CP	20	56	35.71
HPS3	0	4	0.0
CPA6	1	2	50.0
CPAMD8	1	3	33.33
CPLANE1	9	81	11.11
CPLX1	1	3	33.33
RBM12	0	2	0.0
CPOX	8	12	66.67
CPS1	11	54	20.37
CPT1A	14	53	26.42
CPT1C	1	1	100.0
CPT2	14	63	22.22
CR2	0	2	0.0
CRADD	0	4	0.0
CRAT	1	1	100.0
CRB1	8	51	15.69
CRB2	8	11	72.73
CREB3L1	0	2	0.0
CREBBP	41	149	27.52
CRELD1	0	2	0.0
CRH	0	2	0.0
CRIPT	1	3	33.33
CRLF1	5	16	31.25
CRLF2	1	1	100.0
CRNKL1	0	1	0.0
CRTAP	1	8	12.5
CRX	9	24	37.5
CRYAA	10	12	83.33
CRYAB	7	10	70.0
CRYBA1	0	7	0.0
CRYBA4	3	3	100.0
CRYBB1	0	1	0.0
CRYBB1	2	5	40.0
CRYBB2	6	6	100.0
CRYBB3	2	3	66.67
CRYGA	1	1	100.0
LOC100507443	0	2	0.0
LOC100507443	3	9	33.33
LOC100507443	6	10	60.0
CRYGS	1	2	50.0
CRYM	1	2	50.0
CSF1R	43	56	76.79
CSF2RA	1	1	100.0
CSF2RB	1	1	100.0
CSF3R	3	9	33.33
CSNK1D	2	2	100.0
CSNK2A1	7	13	53.85
CSNK2B	1	7	14.29
CSPP1	0	28	0.0
CSRP3	4	8	50.0
CST3	2	2	100.0
CSTA	0	5	0.0
CSTB	4	10	40.0
CTBP1-AS	1	1	100.0
CTC1	6	20	30.0
CTCF	5	17	29.41
CTDP1	0	1	0.0
CTH	2	3	66.67
CTHRC1	0	1	0.0
CTLA4	3	11	27.27
CTNNA1	3	5	60.0
CTNNA3	1	2	50.0
CTNNB1	29	76	38.16
TMX2-CTNND1	0	4	0.0
CTNND2	0	5	0.0
CTNS	12	60	20.0
CTPS1	0	1	0.0
CTRC	3	8	37.5
CTSA	11	16	68.75
CTSC	10	19	52.63
CTSD	7	11	63.64
CTSF	4	8	50.0
CTSK	10	35	28.57
CTU2	0	1	0.0
CUBN	9	39	23.08
CUL3	2	18	11.11
CUL4B	6	22	27.27
CUL7	6	25	24.0
CUX2	1	1	100.0
CWC27	0	4	0.0
CWF19L1	1	9	11.11
CXCR4	1	5	20.0
CXorf56	0	1	0.0
CYB5A	1	3	33.33
CYB5R3	11	21	52.38
CYBA	8	9	88.89
CYBB	23	62	37.1
CYC1	2	2	100.0
CYCS	2	2	100.0
CYFIP2	0	2	0.0
PRCD	0	2	0.0
CYLD	2	25	8.0
CYP11A1	7	11	63.64
CYP11B1	3	11	27.27
LOC106799833	13	31	41.94
LOC110673972	0	3	0.0
LOC106799834	3	6	50.0
CYP17A1	19	26	73.08
CYP17A1-AS1	0	1	0.0
PIRC66	6	12	50.0
CYP1B1	8	17	47.06
LOC106780800	15	23	65.22
CYP24A1	4	8	50.0
CYP26B1	4	4	100.0
CYP27A1	16	63	25.4
CYP27B1	13	18	72.22
CYP2C8	0	1	0.0
CYP2C9	1	1	100.0
CYP2R1	1	1	100.0
CYP2U1	4	10	40.0
LOC101929595	1	3	33.33
CYP4F22	24	43	55.81
CYP4V2	21	31	67.74
CYP7B1	4	18	22.22
D2HGDH	4	9	44.44
DACT1	0	2	0.0
DAG1	3	12	25.0
DARS2	14	26	53.85
DARS	11	11	100.0
DAXX	1	4	25.0
DBH	5	8	62.5
DBH-AS1	1	1	100.0
DBT	6	30	20.0
DCAF17	0	6	0.0
DCAF6	1	1	100.0
DCAF8	1	1	100.0
DCC	8	19	42.11
DCDC2	2	9	22.22
KAAG1	1	2	50.0
DCHS1	4	6	66.67
DCLRE1C	1	9	11.11
DCN	0	4	0.0
DCPS	1	3	33.33
GSEC	1	1	100.0
DCTN1	9	9	100.0
DCX	76	122	62.3
DDB2	0	4	0.0
DDC	7	9	77.78
DDC-AS1	0	2	0.0
DDHD1	0	1	0.0
DDHD2	1	14	7.14
DDOST	2	3	66.67
DDR2	10	10	100.0
DDRGK1	0	1	0.0
DDX11	1	7	14.29
DDX39A	1	1	100.0
DDX3X	35	82	42.68
DDX41	1	8	12.5
DDX58	4	4	100.0
DDX59	0	2	0.0
DEAF1	1	12	8.33
DENND3	0	1	0.0
DENND5A	1	5	20.0
DEPDC5	0	80	0.0
DES	31	54	57.41
DGAT1	2	7	28.57
DGKE	2	13	15.38
DGKZ	0	1	0.0
DGUOK	1	18	5.56
DGUOK-AS1	3	4	75.0
DHCR24	5	5	100.0
DHCR7	29	68	42.65
